date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:37	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.4f.delayed	(from http://www.carquefou-football.com/le-club/actualites/1373-gambardellafctours.html)
17:13:37	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.50.delayed	(from http://www.carquefou-football.com/le-club/actualites/1373-gambardellafctours.html)
17:13:38	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:37%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/le-club/actualites/1365-info-feuille-de-match.html)
17:13:38	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.52.delayed	(from http://www.carquefou-football.com/le-club/actualites/1365-info-feuille-de-match.html)
17:13:38	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.53.delayed	(from http://www.carquefou-football.com/le-club/actualites/1365-info-feuille-de-match.html)
17:13:38	13762/13762	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2031%20Jan%202017%2016:13:38%20GMT	http://www.carquefou-football.com/le-club/actualites.feed?type=rss	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualitesdcab.feed	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:38	29061/29061	---MC-	200	added ('OK')	application/atom+xml	date:Tue,%2031%20Jan%202017%2016:13:38%20GMT	http://www.carquefou-football.com/le-club/actualites.feed?type=atom	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualitesb550.feed	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:45	86312/86312	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:39%20GMT	http://www.carquefou-football.com/le-club/actualites/1313-galette2016.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites/1313-galette2016.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:45	41315/41315	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:40%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=20	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites5a94.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:46	43134/43134	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:41%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=40	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites4abd.html	(from http://www.carquefou-football.com/le-club/actualites.html)
